Kod,Obec,Voliči v seznamu,Platné hlasy,Odevzdané obálky,Vydané obálky
534421,Bavoryně,239,151,151,150
531057,Beroun,14 804,9 145,9 135,9 076
531073,Běštín,262,158,158,157
531081,Broumy,743,491,491,489
531090,Březová,246,168,168,168
531103,Bubovice,372,270,270,269
534145,Bykoš,183,121,121,121
531120,Bzová,364,238,238,235
531138,Cerhovice,909,593,593,591
531154,Drozdov,604,420,420,418
531162,Felbabka,215,136,136,135
531171,Hlásná Třebaň,759,578,578,572
531189,Hořovice,5 247,3 110,3 107,3 090
531201,Hostomice,1 333,796,794,790
531219,Hředle,299,217,217,216
531227,Hudlice,978,663,663,658
531235,Hvozdec,213,155,155,154
531243,Hýskov,1 335,879,879,868
531251,Chaloupky,423,298,298,294
534455,Chlustina,187,117,117,115
534447,Chodouň,501,339,339,337
533670,Chrustenice,709,512,511,508
531294,Chyňava,1 438,916,916,914
531308,Jivina,153,92,92,92
531316,Karlštejn,668,448,448,446
531324,Komárov,1 943,1 185,1 184,1 181
531332,Koněprusy,181,128,128,127
533793,Korno,90,69,69,69
534072,Kotopeky,236,136,136,133
533203,Králův Dvůr,6 238,3 630,3 626,3 605
531375,Kublov,525,348,348,346
533939,Lážovice,81,51,51,51
533335,Lhotka,271,165,165,164
531448,Libomyšl,423,266,266,266
531456,Liteň,880,517,515,513
531464,Loděnice,1 371,863,863,861
531472,Lochovice,925,546,546,541
534404,Lužce,95,56,56,56
533319,Malá Víska,81,59,59,58
534218,Málkov,100,76,76,76
531529,Měňany,240,133,133,132
531537,Mezouň,434,329,329,327
531545,Mořina,617,412,412,410
533912,Mořinka,129,93,93,93
533602,Nenačovice,197,146,146,146
534269,Nesvačily,128,105,105,105
531588,Neumětely,437,250,250,250
531596,Nižbor,1 614,1 038,1 038,1 033
531600,Nový Jáchymov,540,354,354,350
531626,Olešná,343,227,227,225
531634,Osek,633,421,421,417
531642,Osov,290,202,202,199
534111,Otmíče,142,107,107,105
531669,Otročiněves,411,293,293,293
534285,Podbrdy,176,122,122,122
531685,Podluhy,535,337,337,334
531693,Praskolesy,690,465,465,464
531715,Rpety,403,259,259,259
533963,Skřipel,100,60,60,60
531740,Skuhrov,384,259,259,259
531758,Srbsko,411,271,271,270
531766,Stašov,362,220,220,220
531782,Suchomasty,360,238,238,236
531791,Svatá,407,288,287,287
531804,Svatý Jan pod Skalou,132,98,98,94
531812,Svinaře,524,372,372,372
531839,Tetín,691,484,483,480
531847,Tlustice,753,505,504,503
531855,Tmaň,891,502,502,499
534463,Točník,195,129,129,127
533106,Trubín,337,242,242,238
531880,Trubská,158,106,106,106
531901,Újezd,503,367,367,363
531910,Velký Chlumec,344,236,236,235
534234,Vinařice,79,58,58,58
534048,Vižina,217,159,159,159
531944,Vráž,907,600,600,598
531952,Všeradice,344,226,226,226
531961,Vysoký Újezd,580,373,373,370
531979,Zadní Třebaň,663,497,495,490
531995,Zaječov,1 181,768,768,763
532002,Záluží,392,228,228,227
532011,Zdice,3 218,1 958,1 957,1 945
532029,Žebrák,1 644,1 105,1 105,1 096
599417,Železná,207,146,146,146
,1,,,,,"100,00"
,Občanská demokratická strana,,,,,18
,Řád národa - Vlastenecká unie,,,,,0
,CESTA ODPOVĚDNÉ SPOLEČNOSTI,,,,,0
,Česká str.sociálně demokrat.,,,,,6
,Radostné Česko,,,,,0
,STAROSTOVÉ A NEZÁVISLÍ,,,,,8
,Komunistická str.Čech a Moravy,,,,,7
,Strana zelených,,,,,5
,"ROZUMNÍ-stop migraci,diktát.EU",,,,,2
,Strana svobodných občanů,,,,,4
,Blok proti islam.-Obran.domova,,,,,0
,Občanská demokratická aliance,,,,,0
,Česká pirátská strana,,,,,16
,Unie H.A.V.E.L.,,,,,0
,Referendum o Evropské unii,,,,,0
,TOP 09,,,,,11
,ANO 2011,,,,,55
,Dobrá volba 2016,,,,,0
,SPR-Republ.str.Čsl. M.Sládka,,,,,2
,Křesť.demokr.unie-Čs.str.lid.,,,,,3
,Česká strana národně sociální,,,,,0
,REALISTÉ,,,,,0
,SPORTOVCI,,,,,0
,Dělnic.str.sociální spravedl.,,,,,2
,Svob.a př.dem.-T.Okamura (SPD),,,,,11
,Strana Práv Občanů,,,,,0
,19,,,,,"100,00"
,Občanská demokratická strana,,,,,1 363
,Řád národa - Vlastenecká unie,,,,,16
,CESTA ODPOVĚDNÉ SPOLEČNOSTI,,,,,11
,Česká str.sociálně demokrat.,,,,,576
,Radostné Česko,,,,,1
,STAROSTOVÉ A NEZÁVISLÍ,,,,,433
,Komunistická str.Čech a Moravy,,,,,651
,Strana zelených,,,,,140
,"ROZUMNÍ-stop migraci,diktát.EU",,,,,78
,Strana svobodných občanů,,,,,205
,Blok proti islam.-Obran.domova,,,,,8
,Občanská demokratická aliance,,,,,12
,Česká pirátská strana,,,,,1 290
,Unie H.A.V.E.L.,,,,,4
,Referendum o Evropské unii,,,,,6
,TOP 09,,,,,641
,ANO 2011,,,,,2 433
,Dobrá volba 2016,,,,,3
,SPR-Republ.str.Čsl. M.Sládka,,,,,13
,Křesť.demokr.unie-Čs.str.lid.,,,,,279
,Česká strana národně sociální,,,,,2
,REALISTÉ,,,,,61
,SPORTOVCI,,,,,17
,Dělnic.str.sociální spravedl.,,,,,12
,Svob.a př.dem.-T.Okamura (SPD),,,,,800
,Strana Práv Občanů,,,,,21
,1,,,,,"100,00"
,Občanská demokratická strana,,,,,27
,Řád národa - Vlastenecká unie,,,,,2
,CESTA ODPOVĚDNÉ SPOLEČNOSTI,,,,,0
,Česká str.sociálně demokrat.,,,,,21
,Radostné Česko,,,,,0
,STAROSTOVÉ A NEZÁVISLÍ,,,,,2
,Komunistická str.Čech a Moravy,,,,,11
,Strana zelených,,,,,3
,"ROZUMNÍ-stop migraci,diktát.EU",,,,,3
,Strana svobodných občanů,,,,,3
,Blok proti islam.-Obran.domova,,,,,1
,Občanská demokratická aliance,,,,,0
,Česká pirátská strana,,,,,12
,Unie H.A.V.E.L.,,,,,0
,Referendum o Evropské unii,,,,,0
,TOP 09,,,,,2
,ANO 2011,,,,,40
,Dobrá volba 2016,,,,,0
,SPR-Republ.str.Čsl. M.Sládka,,,,,0
,Křesť.demokr.unie-Čs.str.lid.,,,,,2
,Česká strana národně sociální,,,,,0
,REALISTÉ,,,,,1
,SPORTOVCI,,,,,0
,Dělnic.str.sociální spravedl.,,,,,1
,Svob.a př.dem.-T.Okamura (SPD),,,,,26
,Strana Práv Občanů,,,,,0
,1,,,,,"100,00"
,Občanská demokratická strana,,,,,62
,Řád národa - Vlastenecká unie,,,,,1
,CESTA ODPOVĚDNÉ SPOLEČNOSTI,,,,,0
,Česká str.sociálně demokrat.,,,,,35
,Radostné Česko,,,,,2
,STAROSTOVÉ A NEZÁVISLÍ,,,,,20
,Komunistická str.Čech a Moravy,,,,,54
,Strana zelených,,,,,6
,"ROZUMNÍ-stop migraci,diktát.EU",,,,,5
,Strana svobodných občanů,,,,,8
,Blok proti islam.-Obran.domova,,,,,0
,Občanská demokratická aliance,,,,,0
,Česká pirátská strana,,,,,76
